path,published_risk,modified_risk,risk_change,trend
A->B->C->N,5.7,5.6,-0.10000000000000053,↓ İyileşen
B->C,7.5,7.3,-0.20000000000000018,↓ İyileşen
B->C->D,6.9,6.8,-0.10000000000000053,↓ İyileşen
B->C->D->E,7.0,6.7,-0.2999999999999998,↓ İyileşen
B->C->N->E,5.5,5.2,-0.2999999999999998,↓ İyileşen
C->B,7.5,7.3,-0.20000000000000018,↓ İyileşen
C->D,6.4,6.2,-0.20000000000000018,↓ İyileşen
C->D->E,6.7,6.2,-0.5,↓ İyileşen
C->D->E->F,6.5,6.3,-0.20000000000000018,↓ İyileşen
C->D->E->H,5.0,4.7,-0.2999999999999998,↓ İyileşen
C->D->E->N,5.0,4.7,-0.2999999999999998,↓ İyileşen
C->K,6.6,6.4,-0.1999999999999993,↓ İyileşen
C->K->J,6.7,6.6,-0.10000000000000053,↓ İyileşen
C->K->J->I,7.0,6.8,-0.20000000000000018,↓ İyileşen
C->K->L,4.4,4.3,-0.10000000000000053,↓ İyileşen
C->N,3.6,3.4,-0.20000000000000018,↓ İyileşen
C->N->E,4.8,4.4,-0.39999999999999947,↓ İyileşen
C->N->E->D,5.0,4.7,-0.2999999999999998,↓ İyileşen
C->N->E->F,5.1,4.9,-0.1999999999999993,↓ İyileşen
C->N->E->H,3.6,3.3,-0.30000000000000027,↓ İyileşen
C->N->L,2.4,2.3,-0.10000000000000009,↓ İyileşen
C->N->L->H,1.8,1.7,-0.10000000000000009,↓ İyileşen
D->C,6.4,6.2,-0.20000000000000018,↓ İyileşen
D->C->B,6.9,6.8,-0.10000000000000053,↓ İyileşen
D->C->K->L,4.7,4.6,-0.10000000000000053,↓ İyileşen
D->C->N->E,5.0,4.7,-0.2999999999999998,↓ İyileşen
D->C->N->L,3.2,3.1,-0.10000000000000009,↓ İyileşen
D->E,6.4,6.0,-0.40000000000000036,↓ İyileşen
D->E->F,6.3,6.1,-0.20000000000000018,↓ İyileşen
D->E->F->G,6.3,6.1,-0.20000000000000018,↓ İyileşen
D->E->H,4.3,4.0,-0.2999999999999998,↓ İyileşen
D->E->H->G,4.8,4.5,-0.2999999999999998,↓ İyileşen
D->E->H->I,5.1,4.9,-0.1999999999999993,↓ İyileşen
D->E->H->L,3.2,3.0,-0.20000000000000018,↓ İyileşen
D->E->N,4.3,4.0,-0.2999999999999998,↓ İyileşen
D->E->N->C,5.0,4.7,-0.2999999999999998,↓ İyileşen
D->E->N->L,3.2,3.0,-0.20000000000000018,↓ İyileşen
E->D,6.4,6.0,-0.40000000000000036,↓ İyileşen
E->D->C,6.7,6.2,-0.5,↓ İyileşen
E->D->C->B,7.0,6.7,-0.2999999999999998,↓ İyileşen
E->D->C->K,6.5,6.2,-0.2999999999999998,↓ İyileşen
E->D->C->M,6.6,6.4,-0.1999999999999993,↓ İyileşen
E->D->C->N,5.0,4.7,-0.2999999999999998,↓ İyileşen
E->F,6.6,6.3,-0.2999999999999998,↓ İyileşen
E->F->G,6.5,6.2,-0.2999999999999998,↓ İyileşen
E->F->G->H,4.9,4.6,-0.3000000000000007,↓ İyileşen
E->F->G->L,4.9,4.6,-0.3000000000000007,↓ İyileşen
E->H,3.6,3.1,-0.5,↓ İyileşen
E->H->G,4.5,4.1,-0.40000000000000036,↓ İyileşen
E->H->G->F,4.9,4.6,-0.3000000000000007,↓ İyileşen
E->H->G->L,3.3,3.0,-0.2999999999999998,↓ İyileşen
E->H->I,5.0,4.6,-0.40000000000000036,↓ İyileşen
E->H->I->J,5.5,5.2,-0.2999999999999998,↓ İyileşen
E->H->I->M,5.3,5.1,-0.20000000000000018,↓ İyileşen
E->H->L,2.4,2.1,-0.2999999999999998,↓ İyileşen
E->H->L->G,3.3,3.0,-0.2999999999999998,↓ İyileşen
E->H->L->K,3.3,3.1,-0.19999999999999973,↓ İyileşen
E->H->L->M,3.4,3.3,-0.10000000000000009,↓ İyileşen
E->H->L->N,1.8,1.6,-0.19999999999999996,↓ İyileşen
E->N,3.6,3.1,-0.5,↓ İyileşen
E->N->C,4.8,4.4,-0.39999999999999947,↓ İyileşen
E->N->C->B,5.5,5.2,-0.2999999999999998,↓ İyileşen
E->N->C->D,5.0,4.7,-0.2999999999999998,↓ İyileşen
E->N->C->K,5.1,4.8,-0.2999999999999998,↓ İyileşen
E->N->L,2.4,2.1,-0.2999999999999998,↓ İyileşen
E->N->L->G,3.3,3.0,-0.2999999999999998,↓ İyileşen
E->N->L->H,1.8,1.6,-0.19999999999999996,↓ İyileşen
E->N->L->K,3.3,3.1,-0.19999999999999973,↓ İyileşen
E->N->L->M,3.4,3.3,-0.10000000000000009,↓ İyileşen
E->N->M->I,5.3,5.1,-0.20000000000000018,↓ İyileşen
E->N->M->K,4.9,4.8,-0.10000000000000053,↓ İyileşen
E->N->M->L,3.4,3.3,-0.10000000000000009,↓ İyileşen
F->E,6.6,6.3,-0.2999999999999998,↓ İyileşen
F->E->D,6.3,6.1,-0.20000000000000018,↓ İyileşen
F->E->D->C,6.5,6.3,-0.20000000000000018,↓ İyileşen
F->E->H,4.4,4.2,-0.20000000000000018,↓ İyileşen
F->E->H->G,4.9,4.6,-0.3000000000000007,↓ İyileşen
F->E->H->I,5.2,5.0,-0.20000000000000018,↓ İyileşen
