A->B | Risk: 7.9
A->B->C | Risk: 7.5
A->O->N->C | Risk: 5.5
A->B->C->D | Risk: 7.1
A->O->N->E | Risk: 5.3
A->B->C->K | Risk: 7.2
A->O->N->L | Risk: 3.8
A->B->C->M | Risk: 7.3
A->O->N->M | Risk: 5.5
A->B->C->N | Risk: 5.6
A->O->N | Risk: 5.0
A->O | Risk: 7.5
B->A | Risk: 7.9
B->C | Risk: 7.3
B->C->D | Risk: 6.8
B->C->D->E | Risk: 6.7
B->C->N->E | Risk: 5.2
B->C->M->I | Risk: 7.2
B->C->K->J | Risk: 6.9
B->C->K | Risk: 6.9
B->C->M->K | Risk: 6.9
B->C->K->L | Risk: 5.2
B->C->M->L | Risk: 5.4
B->C->N->L | Risk: 3.7
B->C->K->M | Risk: 6.9
B->C->M | Risk: 7.2
B->C->N->M | Risk: 5.4
B->A->O->N | Risk: 5.7
B->C->M->N | Risk: 5.4
B->C->N | Risk: 4.9
B->A->O | Risk: 7.6
B->C->N->O | Risk: 5.5
C->B->A | Risk: 7.5
C->N->O->A | Risk: 5.5
C->B | Risk: 7.3
C->D | Risk: 6.2
C->N->E->D | Risk: 4.7
C->D->E | Risk: 6.2
C->M->N->E | Risk: 5.0
C->N->E | Risk: 4.4
C->D->E->F | Risk: 6.3
C->N->E->F | Risk: 4.9
C->K->L->G | Risk: 4.7
C->M->L->G | Risk: 4.9
C->N->L->G | Risk: 3.2
C->D->E->H | Risk: 4.7
C->K->L->H | Risk: 3.2
C->M->L->H | Risk: 3.4
C->M->I->H | Risk: 5.3
C->N->E->H | Risk: 3.3
C->N->L->H | Risk: 1.7
C->K->J->I | Risk: 6.8
C->K->M->I | Risk: 6.8
C->M->I | Risk: 7.0
C->N->M->I | Risk: 5.3
C->K->J | Risk: 6.6
C->M->K->J | Risk: 6.7
C->M->I->J | Risk: 7.0
C->K | Risk: 6.4
C->M->L->K | Risk: 4.9
C->M->K | Risk: 6.6
C->N->M->K | Risk: 4.9
C->N->L->K | Risk: 3.2
C->K->L | Risk: 4.3
C->K->M->L | Risk: 4.9
C->M->L | Risk: 4.5
