path,published_risk,modified_risk,risk_change,trend
A->B,7.9,7.9,0.0,→ Sabit
A->B->C,7.6,7.5,-0.09999999999999964,→ Sabit
A->B->C->D,7.1,7.1,0.0,→ Sabit
A->B->C->K,7.2,7.2,0.0,→ Sabit
A->B->C->M,7.3,7.3,0.0,→ Sabit
A->B->C->N,5.7,5.6,-0.10000000000000053,↓ İyileşen
A->O,3.9,7.5,3.6,↑ Kötüleşen
A->O->N,2.6,5.0,2.4,↑ Kötüleşen
A->O->N->C,3.7,5.5,1.7999999999999998,↑ Kötüleşen
A->O->N->E,3.8,5.3,1.5,↑ Kötüleşen
A->O->N->L,2.0,3.8,1.7999999999999998,↑ Kötüleşen
A->O->N->M,3.5,5.5,2.0,↑ Kötüleşen
B->A,7.9,7.9,0.0,→ Sabit
B->A->O,5.3,7.6,2.3,↑ Kötüleşen
B->A->O->N,3.9,5.7,1.8000000000000003,↑ Kötüleşen
B->C,7.5,7.3,-0.20000000000000018,↓ İyileşen
B->C->D,6.9,6.8,-0.10000000000000053,↓ İyileşen
B->C->D->E,7.0,6.7,-0.2999999999999998,↓ İyileşen
B->C->K,7.0,6.9,-0.09999999999999964,→ Sabit
B->C->K->J,7.0,6.9,-0.09999999999999964,→ Sabit
B->C->K->L,5.3,5.2,-0.09999999999999964,→ Sabit
B->C->K->M,6.8,6.9,0.10000000000000053,↑ Kötüleşen
B->C->M,7.1,7.2,0.10000000000000053,↑ Kötüleşen
B->C->M->I,7.2,7.2,0.0,→ Sabit
B->C->M->K,6.8,6.9,0.10000000000000053,↑ Kötüleşen
B->C->M->L,5.3,5.4,0.10000000000000053,↑ Kötüleşen
B->C->M->N,5.3,5.4,0.10000000000000053,↑ Kötüleşen
B->C->N,5.0,4.9,-0.09999999999999964,→ Sabit
B->C->N->E,5.5,5.2,-0.2999999999999998,↓ İyileşen
B->C->N->L,3.7,3.7,0.0,→ Sabit
B->C->N->M,5.3,5.4,0.10000000000000053,↑ Kötüleşen
B->C->N->O,3.7,5.5,1.7999999999999998,↑ Kötüleşen
C->B,7.5,7.3,-0.20000000000000018,↓ İyileşen
C->B->A,7.6,7.5,-0.09999999999999964,→ Sabit
C->B->A->O,5.7,7.4,1.7000000000000002,↑ Kötüleşen
C->D,6.4,6.2,-0.20000000000000018,↓ İyileşen
C->D->E,6.7,6.2,-0.5,↓ İyileşen
C->D->E->F,6.5,6.3,-0.20000000000000018,↓ İyileşen
C->D->E->H,5.0,4.7,-0.2999999999999998,↓ İyileşen
C->D->E->N,5.0,4.7,-0.2999999999999998,↓ İyileşen
C->K,6.6,6.4,-0.1999999999999993,↓ İyileşen
C->K->J,6.7,6.6,-0.10000000000000053,↓ İyileşen
C->K->J->I,7.0,6.8,-0.20000000000000018,↓ İyileşen
C->K->L,4.4,4.3,-0.10000000000000053,↓ İyileşen
C->K->L->G,4.8,4.7,-0.09999999999999964,→ Sabit
C->K->L->H,3.3,3.2,-0.09999999999999964,→ Sabit
C->K->L->M,4.9,4.9,0.0,→ Sabit
C->K->L->N,3.3,3.2,-0.09999999999999964,→ Sabit
C->K->M,6.5,6.6,0.09999999999999964,→ Sabit
C->K->M->I,6.8,6.8,0.0,→ Sabit
C->K->M->L,4.9,4.9,0.0,→ Sabit
C->K->M->N,4.9,4.9,0.0,→ Sabit
C->M,6.7,6.8,0.09999999999999964,→ Sabit
C->M->I,7.0,7.0,0.0,→ Sabit
C->M->I->H,5.3,5.3,0.0,→ Sabit
C->M->I->J,7.0,7.0,0.0,→ Sabit
