A->B | Risk: 7.9
A->B->C | Risk: 7.6
A->O->N->C | Risk: 3.7
A->B->C->D | Risk: 7.1
A->O->N->E | Risk: 3.8
A->B->C->K | Risk: 7.2
A->O->N->L | Risk: 2.0
A->B->C->M | Risk: 7.3
A->O->N->M | Risk: 3.5
A->B->C->N | Risk: 5.7
A->O->N | Risk: 2.6
A->O | Risk: 3.9
B->A | Risk: 7.9
B->C | Risk: 7.5
B->C->D | Risk: 6.9
B->C->D->E | Risk: 7.0
B->C->N->E | Risk: 5.5
B->C->M->I | Risk: 7.2
B->C->K->J | Risk: 7.0
B->C->K | Risk: 7.0
B->C->M->K | Risk: 6.8
B->C->K->L | Risk: 5.3
B->C->M->L | Risk: 5.3
B->C->N->L | Risk: 3.7
B->C->K->M | Risk: 6.8
B->C->M | Risk: 7.1
B->C->N->M | Risk: 5.3
B->A->O->N | Risk: 3.9
B->C->M->N | Risk: 5.3
B->C->N | Risk: 5.0
B->A->O | Risk: 5.3
B->C->N->O | Risk: 3.7
C->B->A | Risk: 7.6
C->N->O->A | Risk: 3.7
C->B | Risk: 7.5
C->D | Risk: 6.4
C->N->E->D | Risk: 5.0
C->D->E | Risk: 6.7
C->M->N->E | Risk: 5.1
C->N->E | Risk: 4.8
C->D->E->F | Risk: 6.5
C->N->E->F | Risk: 5.1
C->K->L->G | Risk: 4.8
C->M->L->G | Risk: 4.9
C->N->L->G | Risk: 3.3
C->D->E->H | Risk: 5.0
C->K->L->H | Risk: 3.3
C->M->L->H | Risk: 3.4
C->M->I->H | Risk: 5.3
C->N->E->H | Risk: 3.6
C->N->L->H | Risk: 1.8
C->K->J->I | Risk: 7.0
C->K->M->I | Risk: 6.8
C->M->I | Risk: 7.0
C->N->M->I | Risk: 5.3
C->K->J | Risk: 6.7
C->M->K->J | Risk: 6.6
C->M->I->J | Risk: 7.0
C->K | Risk: 6.6
C->M->L->K | Risk: 4.9
C->M->K | Risk: 6.5
C->N->M->K | Risk: 4.9
C->N->L->K | Risk: 3.3
C->K->L | Risk: 4.4
C->K->M->L | Risk: 4.9
C->M->L | Risk: 4.5
C->M->N->L | Risk: 3.4
C->M->K->L | Risk: 4.9
C->N->M->L | Risk: 3.4
C->N->L | Risk: 2.4
C->K->L->M | Risk: 4.9
C->K->M | Risk: 6.5
C->M | Risk: 6.7
C->N->M | Risk: 4.5
C->N->L->M | Risk: 3.4
C->D->E->N | Risk: 5.0
C->K->L->N | Risk: 3.3
C->K->M->N | Risk: 4.9
C->M->L->N | Risk: 3.4
C->M->N | Risk: 4.5
C->N | Risk: 3.6
C->B->A->O | Risk: 5.7
C->M->N->O | Risk: 3.4
C->N->O | Risk: 2.4
D->C->B->A | Risk: 7.1
D->C->B | Risk: 6.9
D->C | Risk: 6.4
D->E->N->C | Risk: 5.0
D->C->N->E | Risk: 5.0
D->E | Risk: 6.4
D->E->F | Risk: 6.3
D->E->F->G | Risk: 6.3
D->E->H->G | Risk: 4.8
D->E->H | Risk: 4.3
D->C->M->I | Risk: 6.7
D->E->H->I | Risk: 5.1
D->C->K->J | Risk: 6.5
D->C->K | Risk: 6.3
D->C->M->K | Risk: 6.3
D->C->K->L | Risk: 4.7
D->C->M->L | Risk: 4.8
D->C->N->L | Risk: 3.2
D->E->H->L | Risk: 3.2
D->E->N->L | Risk: 3.2
D->C->K->M | Risk: 6.3
D->C->M | Risk: 6.4
D->C->N->M | Risk: 4.8
D->E->N->M | Risk: 4.8
D->C->M->N | Risk: 4.8
D->C->N | Risk: 4.3
D->E->N | Risk: 4.3
D->C->N->O | Risk: 3.2
D->E->N->O | Risk: 3.2
E->N->O->A | Risk: 3.8
E->D->C->B | Risk: 7.0
E->N->C->B | Risk: 5.5
E->D->C | Risk: 6.7
E->N->M->C | Risk: 5.1
E->N->C | Risk: 4.8
E->D | Risk: 6.4
E->N->C->D | Risk: 5.0
E->F | Risk: 6.6
E->H->G->F | Risk: 4.9
E->F->G | Risk: 6.5
E->H->G | Risk: 4.5
E->H->L->G | Risk: 3.3
E->N->L->G | Risk: 3.3
E->F->G->H | Risk: 4.9
E->H | Risk: 3.6
E->N->L->H | Risk: 1.8
E->H->I | Risk: 5.0
E->N->M->I | Risk: 5.3
E->H->I->J | Risk: 5.5
E->D->C->K | Risk: 6.5
E->H->L->K | Risk: 3.3
E->N->M->K | Risk: 4.9
E->N->L->K | Risk: 3.3
E->N->C->K | Risk: 5.1
E->F->G->L | Risk: 4.9
E->H->G->L | Risk: 3.3
E->H->L | Risk: 2.4
E->N->M->L | Risk: 3.4
E->N->L | Risk: 2.4
E->D->C->M | Risk: 6.6
E->H->I->M | Risk: 5.3
E->H->L->M | Risk: 3.4
E->N->M | Risk: 4.5
E->N->L->M | Risk: 3.4
E->N->C->M | Risk: 5.1
E->D->C->N | Risk: 5.0
E->H->L->N | Risk: 1.8
E->N | Risk: 3.6
E->N->O | Risk: 2.4
F->E->D->C | Risk: 6.5
F->E->N->C | Risk: 5.1
F->E->D | Risk: 6.3
F->E | Risk: 6.6
F->G->H->E | Risk: 4.9
F->E->H->G | Risk: 4.9
F->G | Risk: 6.1
F->E->H | Risk: 4.4
F->G->H | Risk: 4.1
F->G->L->H | Risk: 3.1
F->E->H->I | Risk: 5.2
F->G->H->I | Risk: 5.0
F->G->L->K | Risk: 4.6
F->E->H->L | Risk: 3.3
F->E->N->L | Risk: 3.3
F->G->H->L | Risk: 3.1
F->G->L | Risk: 4.1
F->E->N->M | Risk: 4.9
F->G->L->M | Risk: 4.6
F->E->N | Risk: 4.4
F->G->L->N | Risk: 3.1
F->E->N->O | Risk: 3.3
G->L->K->C | Risk: 4.8
