path,published_risk,modified_risk,risk_change,trend
A->O,3.9,7.5,3.6,↑ Kötüleşen
A->O->N,2.6,5.0,2.4,↑ Kötüleşen
A->O->N->C,3.7,5.5,1.7999999999999998,↑ Kötüleşen
A->O->N->E,3.8,5.3,1.5,↑ Kötüleşen
A->O->N->L,2.0,3.8,1.7999999999999998,↑ Kötüleşen
A->O->N->M,3.5,5.5,2.0,↑ Kötüleşen
B->A->O,5.3,7.6,2.3,↑ Kötüleşen
B->A->O->N,3.9,5.7,1.8000000000000003,↑ Kötüleşen
B->C->K->M,6.8,6.9,0.10000000000000053,↑ Kötüleşen
B->C->M,7.1,7.2,0.10000000000000053,↑ Kötüleşen
B->C->M->K,6.8,6.9,0.10000000000000053,↑ Kötüleşen
B->C->M->L,5.3,5.4,0.10000000000000053,↑ Kötüleşen
B->C->M->N,5.3,5.4,0.10000000000000053,↑ Kötüleşen
B->C->N->M,5.3,5.4,0.10000000000000053,↑ Kötüleşen
B->C->N->O,3.7,5.5,1.7999999999999998,↑ Kötüleşen
C->B->A->O,5.7,7.4,1.7000000000000002,↑ Kötüleşen
C->M->K->J,6.6,6.7,0.10000000000000053,↑ Kötüleşen
C->M->N->O,3.4,5.2,1.8000000000000003,↑ Kötüleşen
C->N->O,2.4,4.6,2.1999999999999997,↑ Kötüleşen
C->N->O->A,3.7,5.5,1.7999999999999998,↑ Kötüleşen
D->C->N->O,3.2,4.9,1.7000000000000002,↑ Kötüleşen
D->E->N->O,3.2,4.8,1.5999999999999996,↑ Kötüleşen
E->N->O,2.4,4.5,2.1,↑ Kötüleşen
E->N->O->A,3.8,5.3,1.5,↑ Kötüleşen
F->E->N->O,3.3,4.9,1.6000000000000005,↑ Kötüleşen
F->G->L->M,4.6,4.8,0.20000000000000018,↑ Kötüleşen
G->H->L->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
G->L->K->M,4.6,4.7,0.10000000000000053,↑ Kötüleşen
G->L->M->K,4.6,4.7,0.10000000000000053,↑ Kötüleşen
G->L->M->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
G->L->N->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
G->L->N->O,1.5,3.3,1.7999999999999998,↑ Kötüleşen
H->E->N->O,1.8,3.4,1.5999999999999999,↑ Kötüleşen
H->G->L->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
H->I->M->L,3.5,3.6,0.10000000000000009,↑ Kötüleşen
H->I->M->N,3.5,3.6,0.10000000000000009,↑ Kötüleşen
H->L->K->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
H->L->M,2.1,2.3,0.19999999999999973,↑ Kötüleşen
H->L->M->I,3.5,3.6,0.10000000000000009,↑ Kötüleşen
H->L->M->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
H->L->N->O,0.0,1.8,1.8,↑ Kötüleşen
I->H->L->M,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->L->H,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->L->N,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->N->L,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->N->O,3.5,5.4,1.9000000000000004,↑ Kötüleşen
J->K->C->M,6.6,6.7,0.10000000000000053,↑ Kötüleşen
J->K->L->M,4.8,5.0,0.20000000000000018,↑ Kötüleşen
J->K->M->C,6.6,6.7,0.10000000000000053,↑ Kötüleşen
J->K->M->L,4.8,5.0,0.20000000000000018,↑ Kötüleşen
J->K->M->N,4.8,5.0,0.20000000000000018,↑ Kötüleşen
K->C->N->O,3.3,5.0,1.7000000000000002,↑ Kötüleşen
K->L->M,4.1,4.3,0.20000000000000018,↑ Kötüleşen
K->L->M->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->L->N->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->L->N->O,1.5,3.3,1.7999999999999998,↑ Kötüleşen
K->M,6.2,6.5,0.2999999999999998,↑ Kötüleşen
K->M->C->B,6.8,6.9,0.10000000000000053,↑ Kötüleşen
K->M->L,4.1,4.3,0.20000000000000018,↑ Kötüleşen
K->M->L->G,4.6,4.7,0.10000000000000053,↑ Kötüleşen
K->M->L->H,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->M->L->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->M->N,4.1,4.3,0.20000000000000018,↑ Kötüleşen
K->M->N->L,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->M->N->O,3.1,5.0,1.9,↑ Kötüleşen
L->H->I->M,3.5,3.6,0.10000000000000009,↑ Kötüleşen
L->K->M,4.1,4.3,0.20000000000000018,↑ Kötüleşen
L->K->M->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
L->M,3.1,3.4,0.2999999999999998,↑ Kötüleşen
L->M->C->B,5.3,5.4,0.10000000000000053,↑ Kötüleşen
L->M->I->H,3.5,3.6,0.10000000000000009,↑ Kötüleşen
L->M->K,4.1,4.3,0.20000000000000018,↑ Kötüleşen
L->M->K->J,4.8,5.0,0.20000000000000018,↑ Kötüleşen
L->M->N,2.1,2.3,0.19999999999999973,↑ Kötüleşen
L->M->N->O,1.6,3.5,1.9,↑ Kötüleşen
L->N->M,2.1,2.3,0.19999999999999973,↑ Kötüleşen
L->N->M->I,3.5,3.6,0.10000000000000009,↑ Kötüleşen
L->N->M->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
L->N->O,0.0,2.4,2.4,↑ Kötüleşen
L->N->O->A,2.0,3.8,1.7999999999999998,↑ Kötüleşen
M->C->B,7.1,7.2,0.10000000000000053,↑ Kötüleşen
M->C->K->J,6.6,6.7,0.10000000000000053,↑ Kötüleşen
M->C->N->O,3.4,5.2,1.8000000000000003,↑ Kötüleşen
M->I->H->L,3.5,3.6,0.10000000000000009,↑ Kötüleşen
M->K,6.2,6.5,0.2999999999999998,↑ Kötüleşen
M->K->C->B,6.8,6.9,0.10000000000000053,↑ Kötüleşen
M->K->L,4.1,4.3,0.20000000000000018,↑ Kötüleşen
M->K->L->G,4.6,4.7,0.10000000000000053,↑ Kötüleşen
M->K->L->H,3.1,3.2,0.10000000000000009,↑ Kötüleşen
M->K->L->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
M->L,3.1,3.4,0.2999999999999998,↑ Kötüleşen
M->L->G->F,4.6,4.8,0.20000000000000018,↑ Kötüleşen
M->L->G->H,3.1,3.2,0.10000000000000009,↑ Kötüleşen
M->L->H,2.1,2.3,0.19999999999999973,↑ Kötüleşen
M->L->H->G,3.1,3.2,0.10000000000000009,↑ Kötüleşen
M->L->H->I,3.5,3.6,0.10000000000000009,↑ Kötüleşen
M->L->K,4.1,4.3,0.20000000000000018,↑ Kötüleşen
M->L->K->J,4.8,5.0,0.20000000000000018,↑ Kötüleşen
M->L->N,2.1,2.3,0.19999999999999973,↑ Kötüleşen
M->L->N->O,1.6,3.5,1.9,↑ Kötüleşen
M->N,3.1,3.4,0.2999999999999998,↑ Kötüleşen
M->N->C->B,5.3,5.4,0.10000000000000053,↑ Kötüleşen
M->N->L,2.1,2.3,0.19999999999999973,↑ Kötüleşen
M->N->L->G,3.1,3.2,0.10000000000000009,↑ Kötüleşen
M->N->L->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
M->N->O,2.1,4.7,2.6,↑ Kötüleşen
M->N->O->A,3.5,5.5,2.0,↑ Kötüleşen
N->L->K->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
N->L->M,2.1,2.3,0.19999999999999973,↑ Kötüleşen
N->L->M->I,3.5,3.6,0.10000000000000009,↑ Kötüleşen
N->L->M->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
N->M,3.1,3.4,0.2999999999999998,↑ Kötüleşen
N->M->C->B,5.3,5.4,0.10000000000000053,↑ Kötüleşen
N->M->I->H,3.5,3.6,0.10000000000000009,↑ Kötüleşen
N->M->K,4.1,4.3,0.20000000000000018,↑ Kötüleşen
N->M->K->J,4.8,5.0,0.20000000000000018,↑ Kötüleşen
N->M->K->L,3.1,3.2,0.10000000000000009,↑ Kötüleşen
N->M->L,2.1,2.3,0.19999999999999973,↑ Kötüleşen
N->M->L->G,3.1,3.2,0.10000000000000009,↑ Kötüleşen
N->M->L->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
N->O,0.0,3.6,3.6,↑ Kötüleşen
